joint_positions_deg,joint_positions_rad,tcp_pose_quat,tcp_pose_euler
"[-5.6850536735238373e-05, -39.999988598597405, -7.796941005345694e-05, 89.99967467229428, -1.394160247868911e-05, 39.99993054198945, -1.9290991341998603e-06]","[-9.922290473696194e-07, -0.6981315016746521, -1.3608229210149148e-06, 1.5707906484603882, -2.433268662116461e-07, 0.6981304883956909, -3.3669131482838566e-08]","[0.6848235130310059, -0.11006193608045578, 0.09171167016029358, 0.0009892676025629044, 3.3349635486956686e-05, 0.9999992251396179, 0.0007485214155167341]","[0.6848235130310059, -0.11006193608045578, 0.09171167016029358, 179.91422184833505, 0.11335884244810429, 179.9960935548407]"
"[-1.9044804296524143, -6.446138733250514, 1.7813227273838543, 105.78366811126669, 0.01993463080299201, 22.22781246922564, -0.08457543773347569]","[-0.0332394540309906, -0.11250634491443634, 0.031089946627616882, 1.8462733030319214, 0.0003479249426163733, 0.38794851303100586, -0.0014761198544874787]","[0.5344199538230896, -0.11078235507011414, 0.29694482684135437, 0.001007959246635437, 3.905273479176685e-05, 0.9999961256980896, 0.0025929308030754328]","[0.5344199538230896, -0.11078235507011414, 0.29694482684135437, 179.70286671713902, 0.11549164855927851, 179.99522540089612]"
"[29.045693639633996, -35.54101229623877, 1.3417330329797759, 114.2940633281328, -63.59731205327565, -15.533069364291974, 64.116044430268]","[0.5069429874420166, -0.6203076839447021, 0.023417659103870392, 1.9948077201843262, -1.1099824905395508, -0.2711032032966614, 1.119036078453064]","[0.5344188213348389, -0.11078476160764694, 0.29694584012031555, 0.0006772230262868106, 0.0007302445592358708, 0.7072752714157104, -0.7069375514984131]","[0.5344188213348389, -0.11078476160764694, 0.29694584012031555, -90.02736942550749, 0.11404393256392933, 179.99567650570165]"
"[-3.2642652257251, -49.085789687104665, 2.0678128777397085, 112.8067213341916, -6.5256809819053, 156.3619360945694, -4.714375858493576]","[-0.05697217583656311, -0.8567086458206177, 0.03609014302492142, 1.968848705291748, -0.11389461904764175, 2.7290306091308594, -0.08228138089179993]","[0.7896853089332581, -0.0969972312450409, 0.328408807516098, 0.6734422445297241, -0.05903968960046768, 0.7368593811988831, -0.005301445722579956]","[0.7896853089332581, -0.0969972312450409, 0.328408807516098, -136.76776689369177, 82.67480854486519, -132.40347238892798]"
"[1.7785820072571665, -41.79144476539052, -0.44597925633254565, 80.59858180635628, -1.4068501355481982, -55.52552426423344, -20.594531530808666]","[0.031042112037539482, -0.7293983101844788, -0.007783806417137384, 1.4067106246948242, -0.024554166942834854, -0.969103217124939, -0.3594423830509186]","[0.29221922159194946, -0.1103004589676857, 0.3352012038230896, 0.6859468817710876, 0.1349342167377472, -0.7077125906944275, -0.1020418107509613]","[0.29221922159194946, -0.1103004589676857, 0.3352012038230896, 96.59977832987069, -70.62519432288933, -93.8957516071136]"
"[-29.870056491474276, -38.30158692907401, -24.50869096372978, 81.13731297724217, 66.41504512419088, -47.28616461406268, -67.86525137960776]","[-0.5213308334350586, -0.6684888005256653, -0.4277573525905609, 1.416113257408142, 1.1591612100601196, -0.8252992630004883, -1.1844720840454102]","[0.4197409749031067, -0.13503175973892212, 0.32481056451797485, 0.11785905808210373, -0.1448565423488617, 0.7184765934944153, 0.670012891292572]","[0.4197409749031067, -0.13503175973892212, 0.32481056451797485, 94.57965454126368, 21.313420397054443, -176.9099943267602]"
"[-19.548061172401624, -41.799138973491985, -16.676540361762452, 114.56878719698062, -156.30846937373647, -62.92388272174265, 12.092397427745253]","[-0.3411780297756195, -0.7295325994491577, -0.29106053709983826, 1.9996025562286377, -2.728097438812256, -1.098228931427002, 0.21105214953422546]","[0.532293975353241, -0.29437246918678284, 0.6268702745437622, 0.3549714684486389, 0.008815280161798, 0.0012266698759049177, 0.9348347783088684]","[0.532293975353241, -0.29437246918678284, 0.6268702745437622, 0.4900484934603306, -0.8944690200692045, 138.41106098648476]"
"[-52.16029688972555, 5.5811050931029325, -31.065633294585272, 127.25281731829074, 39.33474866388078, 35.633667227441975, -99.20402393915312]","[-0.9103689193725586, 0.09740865975618362, -0.542197585105896, 2.220980644226074, 0.6865208745002747, 0.6219248175621033, -1.731436848640442]","[0.11251688003540039, -0.46260973811149597, 0.23718136548995972, 0.30120745301246643, 0.05799726024270058, 0.9513799548149109, -0.02804535999894142]","[0.11251688003540039, -0.46260973811149597, 0.23718136548995972, -178.7080318335841, 35.19623185679927, 173.43280080712347]"
"[53.2187576452228, -86.36379422168464, -81.1679532058646, 112.68209770257214, -18.790241438562685, 67.06243094441373, 72.64664334670279]","[0.9288425445556641, -1.5073325634002686, -1.416648030281067, 1.9666736125946045, -0.327951580286026, 1.1704602241516113, 1.26792311668396]","[0.6976606249809265, -0.34916841983795166, 0.3122982680797577, 0.3527054786682129, 0.26003795862197876, 0.6694948673248291, -0.5997964143753052]","[0.6976606249809265, -0.34916841983795166, 0.3122982680797577, -92.92713250632379, 51.64755048081944, -173.06556249604097]"
"[-72.04356496363411, -89.724056048665, 86.44702007673688, 66.80374435974011, -2.3625400227927327, -6.845101608690083, -59.72234766091402]","[-1.2573974132537842, -1.5659801959991455, 1.5087851285934448, 1.165945291519165, -0.041234102100133896, -0.11946956068277359, -1.0423516035079956]","[0.5559355616569519, -0.11679910123348236, 0.2722708582878113, 0.31413334608078003, -0.3523276448249817, 0.6379973292350769, 0.6083953380584717]","[0.5559355616569519, -0.11679910123348236, 0.2722708582878113, 96.41047292426742, 56.05166412864172, -173.07480000101023]"
